path	COUNT(DISTINCT r.job_id)	MAX(r.date)	YEAR(r.date)
/opt/analysis/	0	NULL	NULL
/opt/archive/	0	NULL	NULL
/opt/aspera/	0	NULL	NULL
/opt/aur_license/	0	NULL	NULL
/opt/autoconf/2.69/	0	NULL	NULL
/opt/automake/1.14/	0	NULL	NULL
/opt/automake/1.16/	0	NULL	NULL
/opt/BAK/	0	NULL	NULL
/opt/ccc/	0	NULL	NULL
/opt/ccoe/abinit-10-mpi/	0	NULL	NULL
/opt/ccoe/abinit-7.10.5-cuda/	5	2023-11-03 19:07:16	2023
/opt/ccoe/abinit-8.8.3-mpi/	0	NULL	NULL
/opt/ccoe/abinit-9.6.2/	0	NULL	NULL
/opt/ccoe/amber12-cuda/	0	NULL	NULL
/opt/ccoe/amber12/	0	NULL	NULL
/opt/ccoe/boost_install/	0	NULL	NULL
/opt/ccoe/bzip2-1.0.6/	0	NULL	NULL
/opt/ccoe/caffe/	0	NULL	NULL
/opt/ccoe/ccoe/	0	NULL	NULL
/opt/ccoe/charm/	0	NULL	NULL
/opt/ccoe/cmake-3.12.3/	0	NULL	NULL
/opt/ccoe/cmake-3.30.7/	0	NULL	NULL
/opt/ccoe/cmake-3.4.0/	0	NULL	NULL
/opt/ccoe/cp2k-2022.2/	2	2023-04-02 19:01:46	2023
/opt/ccoe/cp2k-2022.2/	71	2024-12-18 17:06:22	2024
/opt/ccoe/cp2k-2022.2/	37	2025-05-20 06:11:47	2025
/opt/ccoe/cp2k-3.0/	0	NULL	NULL
/opt/ccoe/cp2k-6.1/	0	NULL	NULL
/opt/ccoe/CryoSPARC/	0	NULL	NULL
/opt/ccoe/crystal/	794	2023-12-28 00:42:00	2023
/opt/ccoe/crystal/	326	2024-12-30 12:17:46	2024
/opt/ccoe/crystal/	218	2025-06-05 13:23:46	2025
/opt/ccoe/Docker/	0	NULL	NULL
/opt/ccoe/eigen/	0	NULL	NULL
/opt/ccoe/espresso-5.3.0/	0	NULL	NULL
/opt/ccoe/espresso-6.4.1_MPI/	8	2023-09-29 05:26:46	2023
/opt/ccoe/espresso-6.4.1_MPI/	246	2024-09-11 20:02:11	2024
/opt/ccoe/espresso-6.4.1_MPI/	346	2025-06-08 21:17:19	2025
/opt/ccoe/espresso-6.4.1_PGI_GPU/	90	2023-11-13 10:41:14	2023
/opt/ccoe/espresso-6.4.1_PGI_GPU/	41	2024-12-10 21:59:02	2024
/opt/ccoe/espresso-6.4.1_PGI_GPU/	9	2025-05-27 09:14:58	2025
/opt/ccoe/fftw-2.1.5/	0	NULL	NULL
