Путь,Пакет,Версия,Описание пакета,Последнее изменение,Есть файлы без доступа на чтение,Последний запуск,Запусков в 2023,Запусков в 2024,Запусков в 2025,ПО для рассмотрения?,Модули,Тип,Владелец,Группа,Версия в Octoshell,Коммерческий(Octoshell)
/opt/slurm/15.08.1,Slurm,,,2016-02-25,да,2025-06-10 18:34:44,21902,28221,11152,,slurm/ slurm/15.08.1,directory,aln,root,,
/opt/ccoe/gromacs-2018-icc,Gromacs,,,2018-05-28,нет,2025-05-14 12:56:57,20198,17487,7303,,,directory,root,ccoe,,
/opt/software/VASP-5.4.4-icc1,Vasp,,,2021-05-18,да,2025-06-10 18:49:32,3237,4811,3820,,vasp/5.4.4-icc1,directory,root,root,,
/opt/intel/compilers_and_libraries_2020.4.304,,,,2020-10-14,да,2025-06-09 13:51:12,963,1426,1645,,impi/ impi/2019.9 intel/2017.1 intel/2019.4 intel/2019.5 modulefiles7/impi/ modulefiles7/impi/2019.9,directory,root,root,,
/opt/intel/impi,,,,2021-03-25,да,2025-06-10 18:34:44,4218,2688,1281,,impi/4.1.3.048 intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/software/lammps/lammps-30Mar18-cuda-p100,Lammps,,,2018-04-12,да,2025-06-10 15:51:23,1221,1585,820,,lammps/ lammps/30M18-cuda-p100,directory,practice,practice,,
/opt/software/cp2k,Cp2k,,,2024-08-08,да,2025-06-10 17:53:37,1128,1239,687,,cp2k/7.1.bak cp2k/7.1,directory,root,root,,
/opt/ccoe/gromacs-2020.3-mpi-cuda,Gromacs,,,2020-10-06,нет,2025-06-10 10:08:48,1139,1394,548,,gromacs/ gromacs/2020.3-mpi-gpu,directory,practice,practice,,
/opt/software/Anaconda2,Anaconda,,,2018-08-31,да,2025-06-09 18:11:36,12,156,542,,anaconda2/ anaconda2/2.5.0,directory,root,root,,
/opt/ccoe/espresso-6.4.1_MPI,Quantum Espresso,,,2019-10-06,нет,2025-06-08 21:17:19,8,246,346,,espresso/ espresso/6.4.1-MPI,directory,practice,practice,,
/opt/software/VASP-5.4.4-gcc,Vasp,,,2021-04-30,да,2025-06-06 08:02:58,,,335,,vasp/5.4.4-gcc,directory,root,root,,
/opt/ccoe/crystal,Crystal,,,2019-03-25,да,2025-06-10 18:31:23,794,326,219,,crystal/ crystal/17-1.0.1,directory,practice,practice,,
/opt/intel/oneapi,Gromacs,,,2024-07-02,да,2025-06-09 18:14:20,1298,618,191,,advisor/ advisor/latest advisor/2021.1.1 ccl/ ccl/latest ccl/2021.1.1 clck/ clck/latest clck/2021.2.0 compiler/ compiler-rt/ compiler-rt/latest compiler-rt/2021.1.1 compiler-rt/2021.1.2 compiler-rt/2021.2.0 compiler-rt32/ compiler-rt32/latest compiler-rt32/2021.1.1 compiler-rt32/2021.1.2 compiler-rt32/2021.2.0 compiler/latest compiler/2021.1.1 compiler/2021.1.2 compiler/2021.2.0 dal/ dal/latest dal/2021.1.1 debugger/ debugger/latest debugger/10.0.0 debugger/10.1.1 dev-utilities/ dev-utilities/latest dev-utilities/2021.1.1 dev-utilities/2021.2.0 dnnl/ dnnl-cpu-gomp/ dnnl-cpu-gomp/latest dnnl-cpu-gomp/2021.1.1 dnnl-cpu-iomp/ dnnl-cpu-iomp/latest dnnl-cpu-iomp/2021.1.1 dnnl-cpu-tbb/ dnnl-cpu-tbb/latest dnnl-cpu-tbb/2021.1.1 dnnl/latest dnnl/2021.1.1 dpct/ dpct/latest dpct/2021.1.1 dpl/ dpl/latest dpl/2021.1.1 inspector/ inspector/latest inspector/2021.2.0 intel/2017.1 intel/2019.4 intel/2019.5 intel_ipp_ia32/ intel_ipp_ia32/latest intel_ipp_ia32/2021.1.1 intel_ipp_intel64/ intel_ipp_intel64/latest intel_ipp_intel64/2021.1.1 intel_ippcp_ia32/ intel_ippcp_ia32/latest intel_ippcp_ia32/2021.1.1 intel_ippcp_intel64/ intel_ippcp_intel64/latest intel_ippcp_intel64/2021.1.1 itac/ itac/latest itac/2021.2.0 mkl/latest mkl/2021.1.1 mkl32/ mkl32/latest mkl32/2021.1.1 mpi/ mpi/latest mpi/2021.1.1 mpi/2021.2.0 oclfpga/ oclfpga/latest oclfpga/2021.1.1 oclfpga/2021.1.2 oclfpga/2021.2.0 tbb/ tbb/latest tbb/2021.1.1 tbb/2021.2.0 tbb32/ tbb32/latest tbb32/2021.1.1 tbb32/2021.2.0 vpl/ vpl/latest vpl/2021.1.1 vtune/ vtune/latest vtune/2021.1.2,directory,root,root,,
/opt/ccoe/gromacs-2020.3-gcc-cuda,Gromacs,,,2020-10-06,нет,2025-05-25 03:44:43,335,,178,,gromacs/2020.3-gcc-gpu,directory,practice,practice,,
/opt/intel/compilers_and_libraries_2017.1.132,,,,2016-10-18,да,2025-06-10 12:30:45,153,83,176,,impi/2017.1 intel/2017.1 intel/2019.4 intel/2019.5 mkl/2017.1,directory,root,root,,
/opt/ccoe/NAMD-2.11-cuda,Namd,,,2016-04-12,нет,2025-06-10 10:41:21,211,341,175,,namd/2.11-cuda,directory,potapyurich_251891,ccoe,,
/opt/ccoe/lammps-7Feb2024,Lammps,,,2024-03-29,нет,2025-05-21 00:40:15,,65,161,,lammps/7Feb2024,directory,markzaborodskiy_2338,project_2338,,
/opt/software/lammps/lammps-22Feb18-ompi,Lammps,,,2018-03-06,да,2025-06-09 14:52:09,507,386,156,,lammps/22f18-mpi,directory,practice,practice,,
/opt/ccoe/gromacs-5.1.1,Gromacs,,,2016-02-25,нет,2025-04-10 20:43:12,211,308,73,,gromacs/5.1.1,directory,afanasievily_251892,ccoe,,
/opt/software/amber,Amber,,,2024-01-14,да,2025-06-10 13:26:45,,170,72,,,directory,practice,practice,,
/opt/ccoe/namd/namd-2.14b2-gcc,Namd,,,2020-07-23,нет,2025-03-27 14:53:39,8,,53,,namd/2.14b-GPU-SINGL_NODE namd/2.14b-GPU-VERBS namd/2.14b-MPI,directory,practice,practice,,
/opt/ccoe/cp2k-2022.2,Cp2k,,,2022-10-04,нет,2025-05-20 06:11:47,2,71,37,,cp2k/ cp2k/2022.2,directory,practice,practice,,
/opt/xalt2,Xalt,,,2019-07-10,да,2025-05-17 18:52:23,,,18,,xalt,directory,root,root,,
/opt/ccoe/singularity,Singularity,,,2021-11-10,нет,2025-04-23 21:30:37,,5,16,,singularity/3.0.1 singularity/3.8.4,directory,practice,practice,,
/opt/dimonta,,,,2025-03-06,да,2025-02-08 11:59:30,85,236,13,,,directory,woker,project_1276,,
/opt/software/lammps/2021May27-2,Lammps,,,2021-07-05,да,2025-03-27 14:20:18,25,,13,,lammps/27May2021,directory,root,root,,
/opt/software/Anaconda3.11,Anaconda,,,2023-10-10,да,2025-05-29 15:50:10,19,137,12,,anaconda3/ anaconda3/3.11,directory,root,root,,
/opt/ccoe/espresso-6.4.1_PGI_GPU,Quantum Espresso,,,2019-10-06,нет,2025-05-27 09:14:58,90,41,9,,espresso/6.4.1-GPU,directory,practice,practice,,
/opt/ccoe/gromacs-2018-gcc,Gromacs,,,2018-05-21,нет,2025-04-10 16:44:26,12,5,7,,gromacs/2018-gcc gromacs/2018-icc,directory,root,ccoe,,
/opt/ccoe/NAMD-2.11,Namd,,,2016-04-12,нет,2025-03-01 19:21:46,,1,6,,namd/2.11,directory,potapyurich_251891,ccoe,,
/opt/ccoe/lammps,Lammps,,,2016-10-05,нет,2025-03-14 10:27:21,47,278,5,,lammps/cuda,directory,afanasievily_251892,afanasievily_251892,LAMMPS 3.2.7,Пакет распространяется по лицензии GPL
/opt/software/FlowVision,FlowVision,,,2024-02-22,да,2025-01-09 20:04:12,184,18,4,,,directory,user1,project_201,FlowVision/3.10.02,да
/opt/software/Anaconda3,Anaconda,,,2021-03-09,да,2025-04-23 00:00:16,90,353,3,,anaconda3/3.7.0,directory,root,root,,
/opt/ccoe/lammps-29Oct2020,Lammps,,,2020-10-30,да,2025-02-11 14:41:56,,1,2,,lammps/29Oct2020-v100,directory,practice,practice,,
/opt/intel/vtune_amplifier_2019.6.0.602217,Vtune Amplifier,,,2019-08-19,да,2025-02-11 23:49:47,99,81,1,,intel/2017.1 intel/2019.4 intel/2019.5 vtune/2019.6,directory,root,root,,
/opt/software/lammps/lammps-22Feb18-cuda,Lammps,,,2018-03-06,да,2025-02-11 14:26:27,3,1,1,,lammps/22f18-cuda,directory,practice,practice,,
/opt/ccoe/nwchem-6.8,NWChem,,,2019-12-11,нет,2025-04-24 12:40:42,89,,1,,nwchem/ nwchem/6.8,directory,practice,practice,,
/opt/software/castep-7.01,CASTEP,,"CASTEP is a leading code for calculating the properties of materials from first principles. Using density functional theory, it can simulate a wide range of properties of materials proprieties including energetics, structure at the atomic level, vibrational properties, electronic response properties etc. In particular it has a wide range of spectroscopic features that link directly to experiment, such as infra-red and Raman spectroscopies, NMR, and core level spectra.",2021-06-22,да,2024-08-20 14:14:13,48,803,,,,directory,root,castep,,
/opt/ccoe/vasp-5.4.1,Vasp,,,2016-04-28,да,2024-10-28 22:58:39,85,219,,,vasp/5.4.1-cuda vasp/5.4.1,directory,afanasievily_251892,vasp,,
/opt/software/OpenFoam-5.0,OpenFOAM,,,2017-11-07,да,2024-11-02 02:44:21,329,162,,,,directory,strijhak_1907,root,,
/opt/ccoe/lammps-7Aug19,Lammps,,,2020-03-20,нет,2024-09-15 12:49:51,3,136,,,lammps/7A19-cuda-p100,directory,practice,practice,Lammps 7 Aug 2019,
/opt/software/orca_5_0_3_linux_x86-64_shared_openmpi411,Orca,,,2022-02-14,да,2024-10-01 00:40:02,,73,,,,directory,UNKNOWN,UNKNOWN,,
/opt/software/assembly_tools,,,,2024-09-18,да,2024-09-22 23:30:49,,69,,,,directory,miraarenwood_2349,project_2349,,
/opt/java,,,,2016-02-25,да,2024-12-17 08:11:41,,56,,,,directory,root,root,,
/opt/software/espresso-6.2.1,Quantum Espresso,,,2018-02-18,да,2024-12-12 14:54:30,568,46,,,espresso/6.2.1,directory,practice,root,,
/opt/ccoe/vasp-5.4.4,Vasp,,,2019-12-02,да,2024-12-01 09:08:43,5,39,,,vasp/5.4.4-cuda,directory,afanasievily_251892,vasp,,
/opt/software/java,,,,2018-10-24,да,2024-06-27 02:21:50,,26,,,java/ java/jdk1.8.0,directory,practice,root,,
/opt/intel/advisor_2019.5.0.602216,Intel Advisor,,,2019-10-17,да,2024-11-30 18:17:21,37,21,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/nvidia,,,,2021-01-29,да,2024-11-04 14:35:06,1,11,,,nvhpc/ nvhpc-byo-compiler/ nvhpc-byo-compiler/22.1 nvhpc-nompi/ nvhpc-nompi/20.11 nvhpc-nompi/22.1 nvhpc/20.11 nvhpc/22.1,directory,root,root,,
/opt/software/VASP-5.4.4.1,Vasp,,,2020-06-20,да,2024-03-22 11:31:54,10,8,,,vasp/ vasp/5.4.4,directory,root,vasp,,
/opt/ccoe/nwchem-6.6,NWChem,,,2016-05-18,нет,2024-12-30 17:22:05,22,2,,,nwchem/6.6-cuda nwchem/6.6-openmpi,directory,potapyurich_251891,potapyurich_251891,,
/opt/ccoe/gromacs-2019.4-gcc-cuda,Gromacs,,,2019-11-10,нет,2023-08-14 17:55:43,366,,,,gromacs/2019.4-gcc-gpu,directory,practice,practice,,
/opt/ccoe/abinit-7.10.5-cuda,ABINIT,,,2016-02-25,нет,2023-11-03 19:07:16,5,,,,abinit/7.10.5,directory,afanasievily_251892,ccoe,,
/opt/intel/vtune2019,Intel VTune Profiler,,,2019-04-02,да,2023-04-24 00:29:39,1,,,,intel/2017.1 intel/2019.4 intel/2019.5,directory,root,root,,
/opt/BAK,,,,2022-12-28,да,,,,,,,directory,root,root,,
/opt/DOC,,,,2021-09-20,нет,,,,,,,directory,root,root,,
/opt/Lost+Found.2,,,,2020-09-16,да,,,,,,,directory,root,root,,
/opt/Navisphere,,,,2018-11-23,нет,,,,,,,directory,root,root,,
/opt/SRC,,,,2023-10-13,да,,,,,,,directory,root,root,,
/opt/VirtualGL,,,,2019-07-01,нет,,,,,,,directory,root,root,,
/opt/analysis,,,,2021-03-10,да,,,,,,,directory,root,root,,
/opt/archive,,,,2017-07-07,да,,,,,,,directory,root,root,,
/opt/aspera,,,,2018-12-10,нет,,,,,,,directory,root,root,,
/opt/aur_license,,,,2019-08-08,нет,,,,,,,directory,root,root,,
/opt/autoconf/2.69,,,,2016-02-25,нет,,,,,,,directory,root,root,,
/opt/automake/1.14,,,,2016-02-25,нет,,,,,,,directory,root,root,,
/opt/automake/1.16,,,,2024-05-15,нет,,,,,,,directory,markzaborodskiy_2338,root,,
/opt/ccc,,,,2019-05-30,нет,,,,,,,regular file,root,root,,
/opt/ccoe/CryoSPARC,,,,2025-06-10,нет,,,,,,,directory,root,root,,
/opt/ccoe/Docker,,,,2018-11-10,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/ML-DL_Python-2.7,,,,2018-11-12,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/ML-DL_Python-3.6,,,,2018-11-17,да,,,,,,,directory,practice,practice,,
/opt/ccoe/ML-DL_Python-3.6_nccl,,,,2018-12-18,да,,,,,,,directory,practice,practice,,
/opt/ccoe/ML-DL_Python-3.6_test,,,,2018-12-18,да,,,,,,,directory,practice,practice,,
/opt/ccoe/NAMD-2.14,,,,2020-10-27,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/TeraChem,,,,2019-07-18,да,,,,,,TeraChem/ TeraChem/1.9,directory,practice,terachem,,
/opt/ccoe/abinit-10-mpi,,,,2023-12-25,нет,,,,,,,directory,markzaborodskiy_2338,root,,
/opt/ccoe/abinit-8.8.3-mpi,,,,2019-06-06,нет,,,,,,,directory,practice,practice,,
/opt/ccoe/abinit-9.6.2,,,,2024-01-16,нет,,,,,,abinit/ abinit/9.6.2,directory,root,root,,
/opt/ccoe/amber12,,,,2016-02-26,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/amber12-cuda,,,,2016-02-26,нет,,,,,,amber/ amber/12-cuda,directory,potapyurich_251891,ccoe,,
/opt/ccoe/boost_install,,,,2019-11-11,нет,,,,,,,directory,afanasievily_251892,afanasievily_251892,,
/opt/ccoe/bzip2-1.0.6,,,,2016-02-26,нет,,,,,,,directory,potapyurich_251891,ccoe,,
/opt/ccoe/caffe,,,,2018-08-31,да,,,,,,caffe/ caffe/1.0.0,directory,practice,practice,Caffe ,Свободный
/opt/ccoe/ccoe,,,,2024-09-03,да,,,,,,,directory,root,ccoe,,
/opt/ccoe/charm,,,,2016-02-25,нет,,,,,,,directory,potapyurich_251891,ccoe,,
